2020-11-2 23:37:11 Server Started...
2020-11-2 23:37:44  (192.168.10.61:38306) 연결
2020-11-2 23:38:1  (192.168.10.61:38306) get S.pdf
2020-11-2 23:38:1  (192.168.10.61:38306) get S.pdf completed!
2020-11-2 23:38:34  (192.168.10.61:38308) 연결
2020-11-2 23:38:45  (192.168.10.61:38308) put C.jpg
2020-11-2 23:38:45  (192.168.10.61:38308) put C.jpg completed!
2020-11-2 23:39:13  (192.168.10.61:38312) 연결
2020-11-2 23:40:1  (192.168.10.61:38314) 연결
2020-11-2 23:43:38 Server Started...
2020-11-2 23:43:41  (192.168.10.61:38316) 연결
2020-11-2 23:43:48  (192.168.10.61:38316) get S.dox
2020-11-2 23:43:48  (192.168.10.61:38316) get S.dox file not found!
2020-11-3 0:56:5 Server Started...
2020-11-3 0:56:18  (127.0.0.1:38260) 연결
2020-11-3 0:56:26  (127.0.0.1:38262) 연결
2020-11-3 0:56:44  (127.0.0.1:38260) get s.png
2020-11-3 0:56:44  (127.0.0.1:38260) get s.png file not found!
2020-11-3 0:56:53  (127.0.0.1:38262) put C.png
2020-11-3 0:56:53  (127.0.0.1:38262) put C.png completed!
2020-11-3 0:56:59  (127.0.0.1:38260) get S.png
2020-11-3 0:56:59  (127.0.0.1:38260) get S.png completed!
2020-11-3 17:22:40 Server Started...
2020-11-3 17:22:49  (127.0.0.1:44852) 연결
2020-11-3 17:22:57  (127.0.0.1:44854) 연결
2020-11-3 17:23:15  (127.0.0.1:44852) get S.txt
2020-11-3 17:23:15  (127.0.0.1:44852) get S.txt file not found!
2020-11-3 17:23:25  (127.0.0.1:44854) put C.jpg
2020-11-3 17:23:25  (127.0.0.1:44854) put C.jpg completed!
2020-11-3 17:24:51  (127.0.0.1:44858) 연결
2020-11-3 17:25:4  (127.0.0.1:44858) get S.png
2020-11-3 17:25:4  (127.0.0.1:44858) get S.png completed!
2020-11-3 18:28:57 Server Started...
2020-11-3 18:30:1  (127.0.0.1:45634) 연결
2020-11-3 18:30:6  (127.0.0.1:45634) get log_file.txt
2020-11-3 18:30:6  (127.0.0.1:45634) get log_file.txt completed!
2020-11-3 18:31:31  (127.0.0.1:45636) 연결
2020-11-3 18:31:36  (127.0.0.1:45636) get S.jpg
2020-11-3 18:31:36  (127.0.0.1:45636) get S.jpg completed!
2020-11-3 18:32:34  (127.0.0.1:45636) put C.doc
2020-11-3 18:32:34  (127.0.0.1:45636) put C.doc completed!
2020-11-3 19:18:40 Server Started...
2020-11-3 19:18:49  (127.0.0.1:55482) 연결
2020-11-3 19:19:10  (127.0.0.1:55484) 연결
2020-11-3 19:19:50  (127.0.0.1:55484) get S.txt
2020-11-3 19:19:50  (127.0.0.1:55484) get S.txt completed!
2020-11-3 19:20:26  (127.0.0.1:55484) put C.png
2020-11-3 19:20:26  (127.0.0.1:55484) put C.png completed!
2020-11-3 19:20:38  (127.0.0.1:55486) 연결
2020-11-3 19:20:45  (127.0.0.1:55486) get S.jpg
2020-11-3 19:20:45  (127.0.0.1:55486) get S.jpg completed!
